,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,8.238845,0.16033702,1.8772718,1.9157276,3.5802467,0.10130274,2.684376,2.499199
1,9.373143,0.17707981,1.8772767,1.8647475,3.7059152,0.10245915,2.684384,2.4224172
2,7.543947,0.16548882,1.8772774,2.1449122,4.135003,0.10817417,2.6843667,2.3104534
3,8.870921,0.16742224,1.8772708,1.7994049,3.740934,0.11005837,2.6844409,2.3334634
4,10.002682,0.1984694,1.8772725,1.694734,3.7109737,0.106018856,2.684445,2.4895287
5,11.026448,0.1913642,1.8772631,1.4635608,3.896341,0.10322915,2.6844325,2.486904
6,9.629376,0.19227722,1.8772573,1.7431003,3.371462,0.10253735,2.6844451,2.6566565
7,8.76339,0.17643794,1.8772708,2.0499437,4.0126343,0.103280485,2.684512,2.411521
8,9.949196,0.20114067,1.877269,1.834575,3.306562,0.10152575,2.6845047,2.6034744
9,9.12217,0.16864227,1.8772815,1.7997576,3.3168778,0.105550244,2.6844935,2.4648333
10,7.8311973,0.1609125,1.8772771,1.9323189,3.1072898,0.08889867,2.6845002,2.530337
11,10.204973,0.18682441,1.8772807,1.6471694,3.6763322,0.113432765,2.6844811,2.4614336
12,11.280327,0.19592479,1.8772866,1.5096798,3.2359505,0.10694096,2.6844976,2.6463354
13,9.833038,0.16952126,1.8772851,1.7188996,3.1382303,0.097220674,2.684476,2.6669242
14,9.434389,0.16827181,1.8772852,1.7634854,3.5547626,0.1031364,2.684455,2.4850008
15,9.927566,0.18434978,1.877279,1.6377658,4.3219247,0.11784639,2.6844718,2.2911313
16,10.676122,0.16786839,1.8772887,1.6657364,3.9927785,0.103036985,2.684472,2.4164321
17,6.907129,0.14691901,1.8772894,1.8755887,2.6796126,0.078721136,2.6844742,2.8162878
18,10.312985,0.19709702,1.8772819,1.7168555,3.2996364,0.10644122,2.6844773,2.853308
19,7.6809807,0.1553533,1.8772832,2.1373174,3.0094337,0.08851136,2.6845145,2.6023388
20,8.520316,0.17443949,1.8772835,1.9197444,3.9694645,0.10777716,2.6844487,2.4405394
21,10.444517,0.20025353,1.8772779,1.5473427,4.2800565,0.118940875,2.6844466,2.3500156
22,10.972071,0.19307375,1.8772762,1.58084,3.5702188,0.11229764,2.6844678,2.4982808
23,6.790271,0.14292161,1.8772876,1.8520793,3.1641173,0.08843587,2.6844714,2.517817
24,8.843562,0.18343242,1.877301,1.8663075,3.847827,0.10997484,2.6844594,2.339163
25,8.056634,0.173569,1.8773044,2.2037072,3.4878213,0.103461005,2.684466,2.3549557
26,9.78117,0.18104702,1.8773046,1.8047302,3.667473,0.105698586,2.6844444,2.517272
27,7.9774346,0.1699945,1.8773073,2.1663163,3.7056663,0.1094105,2.6844335,2.4053898
28,8.558558,0.18008156,1.877311,2.002831,3.6100705,0.107209325,2.6844506,2.455163
29,8.901452,0.16083565,1.8773173,1.7915355,3.3629649,0.09824698,2.6844888,2.3269029
30,10.91475,0.19845156,1.8773173,1.4894979,3.8631008,0.11820471,2.6844609,2.2730153
31,9.163585,0.17170276,1.877319,1.7968473,3.454325,0.094216034,2.6844904,2.6899564
32,6.316709,0.14298066,1.8773198,2.338557,3.5072505,0.08955701,2.6845,2.1715906
33,10.197783,0.18249466,1.8773278,1.6092664,3.6619682,0.11209023,2.68446,2.302222
34,9.305694,0.19554324,1.8773268,1.7898346,3.2964787,0.10690628,2.6844244,2.5868347
35,9.487376,0.1663021,1.8773282,1.8073055,3.362825,0.09674448,2.6844254,2.4589074
36,8.107451,0.1508899,1.8773187,1.7129407,3.074294,0.087330006,2.684402,2.7075129
37,10.064756,0.19079663,1.8773377,1.7605972,4.408007,0.110866666,2.6844654,2.349058
38,8.870629,0.17841834,1.877339,1.7535611,3.7912621,0.10963527,2.68453,2.2966154
